iter	Passed	Remaining
501	613	608
502	615	607
503	616	606
504	617	605
505	618	603
506	619	602
507	620	601
508	621	599
509	622	598
510	623	596
511	624	595
512	625	593
513	626	592
514	627	590
515	627	588
516	628	587
517	630	586
518	631	585
519	632	584
520	633	582
521	634	581
522	635	579
523	636	578
524	637	576
525	637	574
526	638	573
527	639	571
528	640	570
529	641	568
530	642	567
531	642	565
532	644	564
533	645	563
534	647	562
535	648	560
536	648	559
537	649	558
538	650	556
539	651	555
540	652	553
541	653	552
542	654	550
543	654	549
544	655	547
545	656	546
546	657	544
547	658	543
548	660	542
549	661	541
550	662	540
551	663	538
552	664	537
553	665	535
554	666	534
555	667	533
556	668	531
557	669	530
558	670	528
559	671	527
560	672	525
561	673	524
562	674	523
563	676	522
564	677	521
565	678	519
566	678	518
567	679	517
568	680	515
569	681	514
570	682	512
571	683	511
572	683	509
573	684	508
574	685	506
575	686	505
576	687	503
577	688	502
578	689	501
579	691	500
580	691	499
581	692	497
582	693	496
583	694	494
584	695	493
585	696	491
586	696	490
587	697	488
588	698	487
589	699	485
590	700	484
591	701	483
592	701	481
593	703	481
594	704	479
595	705	478
596	706	477
597	707	475
598	708	474
599	709	472
600	710	471
601	711	470
602	713	469
603	713	468
604	714	466
605	715	465
606	716	463
607	717	462
608	719	461
609	720	460
610	721	459
611	722	457
612	722	456
613	723	455
614	724	453
615	725	452
616	726	450
617	727	449
618	727	447
619	728	446
620	729	445
621	730	443
622	731	442
623	732	441
624	734	440
625	735	439
626	736	437
627	737	436
628	737	435
629	738	433
630	739	432
631	740	431
632	741	429
633	741	428
634	742	426
635	743	425
636	744	424
637	745	422
638	746	421
639	746	420
640	748	419
641	749	417
642	750	416
643	751	415
644	751	413
645	752	412
646	753	411
647	754	409
648	755	408
649	755	406
650	756	405
651	757	404
652	758	402
653	759	401
654	759	400
655	760	398
656	761	397
657	763	396
658	764	395
659	764	394
660	765	392
661	766	391
662	767	390
663	768	388
664	769	387
665	770	386
666	770	384
667	771	383
668	772	382
669	773	380
670	774	379
671	775	378
672	775	376
673	777	375
674	778	374
675	779	373
676	779	372
677	780	370
678	781	369
679	782	368
680	783	366
681	783	365
682	784	364
683	785	362
684	786	361
685	787	360
686	787	358
687	788	357
688	789	356
689	790	355
690	791	353
691	792	352
692	793	351
693	794	350
694	795	348
695	795	347
696	796	346
697	797	345
698	798	343
699	799	342
700	799	341
701	800	339
702	801	338
703	802	337
704	803	336
705	804	334
706	805	333
707	806	332
708	807	331
709	808	330
710	809	329
711	810	327
712	811	326
713	812	325
714	813	324
715	814	322
716	814	321
717	815	320
718	816	319
719	817	317
720	817	316
721	818	315
722	819	313
723	820	312
724	821	311
725	822	310
726	823	309
727	824	308
728	825	306
729	825	305
730	826	304
731	827	302
732	828	301
733	829	300
734	830	299
735	831	298
736	831	296
737	832	295
738	833	294
739	834	293
740	835	291
741	836	290
742	837	289
743	838	288
744	839	287
745	840	286
746	840	284
747	841	283
748	842	282
749	843	281
750	844	279
751	844	278
752	845	277
753	846	276
754	847	275
755	848	273
756	849	272
757	849	271
758	850	270
759	851	269
760	852	267
761	853	266
762	854	265
763	855	264
764	856	262
765	856	261
766	857	260
767	858	259
768	859	258
769	860	257
770	861	255
771	862	254
772	863	253
773	863	252
774	864	251
775	865	249
776	866	248
777	867	247
778	868	246
779	869	245
780	870	243
781	870	242
782	871	241
783	872	240
784	873	239
785	874	238
786	875	236
787	876	235
788	876	234
789	877	233
790	878	232
791	879	230
792	880	229
793	881	228
794	882	227
795	883	226
796	884	225
797	885	224
798	886	222
799	886	221
800	887	220
801	888	219
802	889	218
803	890	217
804	892	216
805	895	215
806	900	215
807	905	215
808	914	215
809	916	215
810	918	214
811	921	213
812	922	212
813	923	211
814	924	209
815	926	208
816	927	207
817	928	206
818	929	205
819	929	204
820	930	202
821	931	201
822	933	200
823	934	199
824	934	198
825	935	197
826	936	195
827	937	194
828	939	193
829	939	192
830	941	191
831	942	190
832	943	189
833	945	188
834	947	187
835	950	186
836	952	185
837	952	184
838	953	183
839	954	181
840	956	180
841	957	179
842	958	178
843	959	177
844	960	176
845	961	174
846	962	173
847	962	172
848	963	171
849	964	170
850	965	168
851	966	167
852	966	166
853	967	165
854	968	164
855	969	163
856	970	161
857	971	160
858	972	159
859	973	158
860	974	157
861	975	156
862	976	154
863	976	153
864	977	152
865	978	151
866	979	150
867	980	149
868	981	147
869	981	146
870	982	145
871	983	144
872	984	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	990	136
879	991	135
880	992	133
881	992	132
882	993	131
883	994	130
884	995	129
885	996	128
886	997	127
887	997	125
888	998	124
889	999	123
890	1000	122
891	1002	121
892	1003	120
893	1004	119
894	1004	117
895	1005	116
896	1006	115
897	1007	114
898	1008	113
899	1009	112
900	1010	110
901	1010	109
902	1011	108
903	1012	107
904	1013	106
905	1014	105
906	1015	104
907	1017	103
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1022	95
915	1023	93
916	1024	92
917	1025	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1037	78
930	1038	76
931	1038	75
932	1039	74
933	1040	73
934	1041	72
935	1042	71
936	1043	70
937	1043	68
938	1044	67
939	1046	66
940	1047	65
941	1050	64
942	1051	63
943	1052	62
944	1053	61
945	1054	60
946	1055	59
947	1056	57
948	1057	56
949	1058	55
950	1058	54
951	1059	53
952	1061	52
953	1062	51
954	1064	50
955	1065	49
956	1066	47
957	1067	46
958	1069	45
959	1070	44
960	1072	43
961	1073	42
962	1074	41
963	1076	40
964	1077	39
965	1079	38
966	1080	36
967	1081	35
968	1082	34
969	1083	33
970	1084	32
971	1085	31
972	1086	30
973	1087	29
974	1088	27
975	1089	26
976	1091	25
977	1093	24
978	1095	23
979	1096	22
980	1097	21
981	1099	20
982	1100	19
983	1101	17
984	1102	16
985	1103	15
986	1104	14
987	1106	13
988	1108	12
989	1109	11
990	1111	10
991	1112	8
992	1113	7
993	1114	6
994	1115	5
995	1116	4
996	1117	3
997	1120	2
998	1121	1
999	1124	0
